N,P,K,temperature,humidity,ph,rainfall,NuContAvailable,AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),soil Type
83,42,31,22.93,42.61,7.17,262.45,"N,P,K",70.24,15.52,23.34,43.69,black
66,44,22,14.21,59.58,6.62,352.5,"N,P,K",43.79,64.32,20.87,19.98,Red Soil
87,17,22,32.7,60.61,5.98,251.28,"N,P,K",61.41,26.26,49.22,55.59,silt
86,19,53,21.45,81.47,7.16,651.92,N,76.68,57.82,41.19,7.95,Red Soil
96,32,52,30.15,67.85,6.48,440.92,"N,P,K",59.14,57,7.73,54.51,silt
74,19,59,39.79,89.96,6.45,202.88,"N,P,K",44.11,13.68,9.53,13.92,Loam
56,41,14,21.06,68.01,7.6,523.76,"N,P,K",40.64,37.71,11.47,59.14,Clay
40,46,51,32.15,62.61,7.58,544.96,"P,K",71.36,99.29,10.98,14.31,Alluvial
52,45,47,23.6,88.75,6.94,562.33,"N,P",46.87,58.63,26.2,18.84,Clay
52,10,29,15.44,45.86,5.95,791.27,"N,P,K",46.03,17.69,49.96,35.66,Clay
24,44,40,12.52,85,6.56,931.52,"N,P,K",51.93,83.76,11,48.63,lime soil
18,35,10,29.93,40.72,6.47,856.97,"N,P,K",42.5,20.94,15.34,41.08,lime soil
50,21,52,25.9,57.16,7.16,594.43,"N,P,K",41.69,39.13,46.28,28.96,black
96,10,57,34.89,42.2,7.93,510.19,N,61.05,51.15,22,23.77,Red Soil
96,29,15,11.07,84.97,7.64,775.36,N,67.14,69.08,12.28,38.13,black
39,49,53,33.11,69.56,7.52,617.8,"N,P,K",72.57,70.69,6.2,21.49,Clay
78,46,27,36.36,50.86,5.85,663.04,"N,P,K",73.79,49.63,25.31,19.58,Alluvial
98,11,6,25.34,77.22,6.09,801.47,N,78.59,21.32,48.87,47.3,black
53,42,14,25.88,71.61,5.81,489.32,"N,P",48.61,39.91,6.24,10.47,sandy
78,9,34,12.37,66.37,6,794.61,"N,P,K",50.39,35.97,44.58,47.29,black
45,38,25,20.71,55.85,7.84,373.08,"N,P",65.43,58.25,17.6,40.17,black
41,14,17,19.94,80.5,7.21,853.8,"N,P,K",77.12,18.83,20.9,22.68,lime soil
75,18,55,22.83,45.83,7.58,866.62,"N,P",63.96,55.13,24.7,16.61,silt
99,31,51,36.19,63.64,7.52,376.8,"N,P,K",76.29,32.75,26.1,44.04,Clay
81,49,43,38.46,75.28,7.27,887.26,"N,P,K",47.58,12.7,16.18,21.22,silt
88,28,23,14.3,87.28,5.88,378.68,"N,P,K",49.66,23.14,48.83,50.81,silt
29,28,31,21.84,52.5,5.99,848.86,"N,P,K",71.13,98.04,42.67,49.87,Alluvial
28,32,46,25.61,64.64,7.98,416.82,"N,P,K",66.23,14.41,44.42,28.57,sandy
69,12,34,33.03,43.88,7.04,280.47,"N,P,K",66.97,58.03,29.36,6.67,Clay
11,16,42,39.02,50.11,7.04,723.68,"N,P,K",63.1,42.02,46.54,41.27,Loam
84,15,33,25.22,57.63,6.49,406.61,"N,P,K",65.04,44.29,14.24,50.94,black
22,15,5,28.92,79.33,7.04,692.05,"N,P,K",56.16,17.42,35.94,22.99,silt
14,9,36,25.53,78.38,7.61,753.3,N,70.51,39.28,19.22,22.81,silt
81,8,15,14.41,50.19,6.02,294.16,"N,P,K",53.12,96.7,7.3,35.1,Alluvial
59,35,20,13.58,74.75,6.08,777.62,"N,P,K",46.95,22.8,19.5,27.03,silt
76,30,27,19.93,63.08,5.93,872.44,"N,P,K",72.15,35.4,27.83,27.07,Red Soil
60,12,9,36.34,65.63,6.02,356.39,"N,P,K",51.47,22.83,20.06,14.4,Alluvial
77,35,24,31.13,55.46,6.61,931.3,"N,P,K",70.09,62.91,30.26,41.55,lime soil
84,6,30,37.94,48.85,7.03,942.25,"N,P,K",61.73,88.42,28.97,24.27,sandy
43,12,34,11.39,84.87,7.88,280.43,"N,P,K",56.37,20.62,6.64,30.65,Red Soil
10,45,21,37.49,44.6,5.53,806.75,"N,P,K",76.44,39.2,11.77,40.52,Loam
42,34,34,20.1,79.37,7.78,740.12,N,51.22,73.53,10.04,37.92,Alluvial
94,10,46,22.97,87.38,7.57,452.73,"N,P,K",51.97,61.54,10.85,12.96,lime soil
97,43,26,37.13,65.51,6.02,997.39,"N,P,K",47.7,35.46,20.42,7.37,sandy
30,10,17,23.31,84.66,6.99,209.84,"N,P,K",59.86,65.24,12.3,34.19,black
55,12,59,27.21,70.59,7.14,662.13,"N,P,K",41.3,68.58,22.04,50.01,lime soil
21,18,51,24.31,45.21,5.79,919.45,"N,P",77.24,73.94,22.72,59.85,Alluvial
69,28,54,26.81,80.29,6.56,601.23,N,64.57,12.58,14.69,29.11,silt
40,16,57,18.51,79.01,6.92,971.77,"N,P,K",62.88,11.07,22.95,40.35,silt
12,23,22,22.55,80.08,7.54,323.76,"N,P,K",48.94,63.95,10.03,23.03,Clay
19,48,42,30.85,43.26,7.03,715.44,"N,P,K",75.99,77.48,26.16,21.74,black
68,48,44,26.69,64.37,6.35,876.41,"N,P,K",77.03,34.15,35.67,9.32,sandy
64,40,42,16.89,89.93,6.92,707.89,"N,P,K",77.05,18.57,37.86,39.1,Clay
20,42,38,23.58,57.74,7.16,774.47,"N,P,K",70.35,80.56,8.63,5.26,Clay
16,11,47,31.42,61.17,7.92,765.86,"N,P,K",59.95,28.31,18.62,40.56,Clay
68,26,13,29.83,55.54,6.01,834.01,"N,P,K",61.59,89.3,41.79,54.13,Alluvial
27,37,49,28.91,56.2,6.68,953.06,"N,P,K",41.1,47.17,7.65,35.32,Clay
56,10,50,17.22,85.27,7.37,416.08,"N,P,K",73.5,88.04,18.01,44.21,Alluvial
22,41,55,20.25,72.33,7.09,207.72,N,76.35,35.21,42.9,11.31,lime soil
76,33,5,25.04,46.26,7.06,690.23,"N,P,K",44.74,16.98,48.85,19.99,Red Soil
13,47,23,26.32,42.86,5.52,356.79,N,65.91,30.03,31.49,24.37,silt
70,13,39,10.17,42.78,7.92,509.29,"N,P,K",45.95,32.86,40.12,21.96,Red Soil
47,30,33,17.76,75.29,6.3,678.44,"N,P,K",40.01,78.55,49.86,6.88,black
71,44,22,16.56,85.63,7.87,745.15,"N,P,K",46.75,99.71,8.32,48.43,Red Soil
22,13,54,22.14,74.5,7.81,503.03,N,51.92,94.78,38.92,19.87,lime soil
40,33,18,19.66,53.72,7.31,788.57,"N,P,K",62.72,39.77,18.74,31.78,lime soil
36,49,10,39.84,68.55,6.98,356.81,"N,P",54.49,11.15,22.69,43.19,lime soil
85,14,19,30.01,44.32,6.45,582.25,"N,P,K",67.6,74.08,39.08,8.15,Loam
48,24,9,21.26,84.35,7.89,645.05,"N,P,K",66.51,36.33,38.83,46.9,black
40,39,27,21.11,51.98,5.95,650.17,"N,P,K",60.86,22.04,19,13.4,Red Soil
32,47,39,35.44,66.33,7.96,784.46,"N,P,K",73.62,70.44,32.37,13.19,lime soil
50,8,46,18.71,60.9,6.85,694.24,"N,P,K",53.95,34.36,9.85,56.19,Loam
15,10,11,18.59,63,5.82,825.02,"N,P,K",59.57,46.94,23.94,22.43,black
31,31,18,38.61,51.13,7.41,512.98,"N,P,K",62.31,60.57,24.64,57.76,Loam
46,38,16,10.82,85.93,7.79,923.82,"N,P,K",67.38,52.33,15.85,26.4,Alluvial
11,26,50,27.23,71.01,7.57,501.38,"N,P,K",44.15,25.89,8.66,58.21,silt
79,33,19,16.41,55.68,6.35,279.46,"N,P",74.3,62.45,33.48,46.78,sandy
44,8,38,32.74,84.87,5.66,343.63,"N,P",79.79,52.37,6.91,23.34,silt
43,14,52,29.85,65.63,6.75,278.34,"N,P,K",42.41,33.55,18.18,11.54,silt
37,5,32,29.43,82.48,7.45,349.25,"N,P,K",61.19,24.23,33.76,18.87,Red Soil
29,20,22,19.51,60.98,7.87,437.37,"N,P,K",54.7,23.61,23.77,59.99,Clay
89,10,38,30.51,66.89,6.27,524.61,"N,P,K",54.26,58.22,16.17,21.57,black
38,35,36,22.73,61.99,7.59,940.52,"N,P,K",76.56,82.85,25.23,47.44,Red Soil
88,18,41,32.99,49.97,6.2,465.24,"N,P,K",73.88,82.54,48.47,48.93,Loam
17,20,28,16.31,87.89,6.25,206.21,"N,P,K",41.92,84.27,31.4,46.92,black
49,39,53,37.02,42.62,7.67,968.49,"N,P,K",42.96,70.7,30.55,25.82,Red Soil
78,22,15,37.46,56.6,7.36,913.7,"N,P,K",64.44,33.69,14.38,55.83,silt
85,30,30,19.2,59.14,7.93,484.08,N,71.11,86.9,48.14,7.15,Red Soil
89,21,54,36,40.58,5.51,781.16,"N,P,K",66.21,72.32,22.05,34.19,Clay
93,25,57,37.11,81.99,7.12,834.42,"N,P,K",60.64,95.38,42.49,6.25,Loam
18,18,55,13.25,48.6,7.97,401.13,"N,P,K",75.49,85.48,12.33,23.14,Loam
48,41,19,12.29,49.63,7.47,229.9,"N,P,K",58.82,47.41,32.65,25.69,Red Soil
32,40,27,10.87,58.96,7.71,907.68,"N,P,K",47.98,76.95,25.66,30.57,Alluvial
20,21,34,38.86,65.9,6.45,344.85,N,66.55,21.08,36.81,40.04,Red Soil
69,9,58,10.16,61.09,7.5,231.15,"N,P,K",56.02,23.63,31.57,6.04,black
80,22,57,13.22,41.6,6.87,852.61,"N,P,K",60.57,27.69,45.58,24.22,black
23,24,34,35.02,70.54,6.64,216,"N,P,K",72.13,76.1,17.9,12.98,Alluvial
34,12,35,24.42,55.36,5.51,464.6,"N,P,K",51.44,52.8,33.21,19.45,lime soil
38,10,36,37.76,54.16,6.67,413.02,N,73.11,44.12,7.1,19.88,black
11,37,31,27.31,60.56,5.93,340.39,"N,P,K",57.72,18.04,36.11,16.7,Red Soil
67,21,44,15.61,61.37,5.66,492.74,"N,P,K",65.16,70.39,21.9,49.3,Loam
70,25,55,28.82,60.06,5.74,207.55,N,78.08,76.05,39.76,49.42,black
69,18,49,27.66,66.88,7.49,730.01,"N,P,K",63.44,48.24,19.67,42.3,sandy
42,18,44,20.76,42.1,7.55,919.39,"N,P,K",74,29.56,6.67,34.11,sandy
68,30,19,29.84,76.32,6.74,347.27,"N,P,K",43.07,99.56,40.83,57.4,lime soil
34,34,38,28.14,84.31,6.91,299.86,"N,P,K",54.71,70.82,20.5,23.7,lime soil
68,33,50,17.16,49.97,5.77,351.84,"N,P,K",54.41,35.19,31.05,39.86,lime soil
29,43,46,27.77,41.24,6.14,811.66,N,66.59,27.75,11.69,42.77,Alluvial
26,38,9,32.7,88.1,6.95,479.99,N,71.48,55.57,22.64,58.44,silt
53,8,57,11.53,65.95,7.7,618.39,"N,P",44.43,86.62,47.9,30.9,black
44,17,21,16.46,45.1,6.22,954.72,"N,P,K",40.5,56.58,7.54,11.05,Red Soil
99,7,39,38.17,50.61,6.61,339.61,"N,P,K",53.1,63.31,13.34,14.69,Alluvial
25,43,49,19.24,87.29,5.55,637.46,"N,P,K",56.3,93.89,18.98,22.48,Clay
66,48,57,13.47,81.16,7.83,322.56,"N,P,K",61.83,60.17,39.47,31.85,Alluvial
88,5,51,21.57,58.07,5.84,679.71,"N,P,K",59.82,95.87,6.83,53.68,Red Soil
20,21,8,15.26,60.07,6.05,839.27,N,72.44,12.28,7.46,36.34,Red Soil
27,9,13,10.56,49.11,5.84,223.49,"N,P,K",79.27,76.89,32.91,42.31,black
75,49,47,25.43,72.82,7.94,418.16,"N,P,K",58.33,63.01,5.52,31.69,silt
81,26,36,13.09,46,6.77,887.25,"N,P,K",50.81,20.45,5.5,16.57,sandy
57,31,53,24.57,74.87,5.78,550.88,"N,P,K",59.96,95.09,43.76,28.12,black
95,15,54,35.99,45.73,6.2,263.34,"N,P,K",57.35,77.48,33.3,49.65,Alluvial
72,21,32,26.54,74.21,6.18,589.55,N,65.92,26.22,10.79,12.75,black
40,25,30,15.08,46.65,6.46,780.39,"N,P,K",40.1,78.06,25.26,57.08,Clay
91,47,40,16.25,48.8,7.38,211.57,"N,P,K",45.48,10,11.24,13.01,Alluvial
13,12,18,35.5,72.47,6.36,533.25,"N,P,K",49.62,41.56,21.79,34.26,lime soil
88,31,26,38.21,81.49,6,583.19,"N,P,K",74.94,86.25,25.6,37.11,Clay
41,11,32,19.22,53.61,5.56,804.88,"N,P,K",51.42,40.86,43.19,36.2,black
90,46,27,16.76,63.91,6.53,736.24,"N,P,K",45.26,72.29,26.16,6.8,Alluvial
23,12,31,16.61,62.65,7.7,917.49,"N,P,K",63.42,27.68,16.6,15.36,sandy
51,45,24,11.98,60.94,7.99,890.27,"N,P",52.52,15.73,8.74,27.35,silt
61,23,26,19.19,42.27,7.53,391.66,"N,P,K",52.04,93.16,7.76,42.68,Red Soil
80,20,41,37.47,70.34,5.84,692.13,"N,P,K",65.05,93.46,24.8,32.91,Clay
53,22,22,23.66,67.58,6.81,365.41,"N,P,K",44.29,34.08,7.84,45.04,Loam
89,24,11,22.31,77.66,5.53,336.61,"N,P,K",73.94,11.62,33.26,35.81,Red Soil
66,17,52,22.33,75.61,6.32,220.11,"N,P,K",65.45,26.46,45.26,22.68,sandy
48,13,39,20.61,74.27,7.26,235.52,"N,P,K",62.92,23.52,15.97,11.89,black
17,29,24,31.61,72.65,6.77,897.96,"N,P,K",42.07,88.62,11.16,47.44,Clay
62,11,20,25.6,45.4,7.56,944.39,N,51.06,21.39,10.82,51.09,Red Soil
47,29,7,24.28,82.54,6.45,757.27,"N,P,K",65.69,23.88,18.53,28.58,silt
75,6,38,22.54,74.26,6.54,321.66,"N,P,K",77.01,62.26,20,50.47,sandy
79,13,27,30.73,81.11,6.45,858.57,"N,P,K",45.29,83.66,9.05,12.08,sandy
78,13,6,26.03,41.69,6.51,490.36,N,65.21,40.55,24.69,6.76,sandy
17,7,48,34.57,69.47,6.07,958.17,"N,P,K",60.61,23.63,29.13,37.55,black
77,34,25,18.21,49.44,6.18,494.1,"N,P,K",64.08,70.81,17.57,53.09,black
44,6,24,12.63,48.34,7.9,965.86,"N,K",46.57,33.21,49.99,8.76,lime soil
35,22,38,16.26,89.6,6.35,281.98,N,67.7,40.98,31.44,15.96,lime soil
65,28,18,35.65,44.16,7.96,953.12,"N,P,K",68.77,83.75,24.39,16.02,sandy
39,36,32,20.14,62.88,6.05,639.31,"N,P,K",64.12,23.51,49.47,12.21,lime soil
83,36,45,13.46,63.37,7.21,957.25,"N,P,K",68.5,94.77,11.6,55.97,Alluvial
95,15,36,36.09,47.09,5.81,256.5,"N,P",40.51,37.54,12.76,14.55,black
21,36,23,14.33,63.83,6.42,267.54,N,40.58,38.53,27.36,20.06,silt
99,47,50,35.43,55.67,5.72,341.04,N,53.89,53.38,27.04,53.45,black
25,5,13,27.66,79.1,6.57,553.14,"N,P,K",74.49,81.03,39.15,45.48,lime soil
68,33,57,37.99,56.66,7.65,342.05,"N,P",50.03,23.31,15.79,10.54,Loam
49,36,52,17.53,43.11,6.31,935.7,"N,P,K",68.92,70.88,31.79,48.7,Alluvial
74,15,22,38.11,86.92,6.75,775.32,"N,P,K",66.85,90.28,40.21,39.62,Clay
63,49,28,26.97,52.97,6.53,541.95,"N,P,K",48.42,26.96,32.17,9.66,Alluvial
68,25,13,10.87,81.24,7.6,611.42,"N,P,K",52.82,78.37,28.66,12.64,black
54,9,13,33.84,89.6,6.6,430.67,"N,P",50.32,46.64,12.11,34.82,sandy
56,16,19,31.74,72.92,7.75,610.67,"N,P,K",62.07,49.37,45.96,35.65,lime soil
58,27,29,12.38,82.36,6.32,731.06,"N,P,K",47.13,64.97,39.68,28.51,lime soil
99,38,6,13.92,89.2,6.03,977.88,"N,P,K",61.08,16.74,29.93,57.02,sandy
19,8,15,37.01,41.84,7.51,285.3,"N,P,K",71.55,29.12,41.73,13.94,Red Soil
97,19,59,10.52,80.29,5.6,649.16,"N,P,K",53.16,77.85,19.05,9.93,Loam
43,30,33,24.48,77.43,7.04,328.88,"N,P,K",66.41,68.7,5.79,52.7,black
43,35,6,32.2,49.06,7.45,312.87,"N,P",43.56,49.37,31.41,9.02,lime soil
53,12,11,32.6,46.32,5.63,428.13,N,72.17,51.39,19.82,36.3,Loam
23,30,31,24.64,63.66,5.54,557.04,"N,P,K",52.15,35.2,5.33,25.61,Alluvial
17,44,47,15.6,69.83,7.51,354.32,"N,P",54.76,87.81,21.57,10.5,lime soil
70,6,35,26.85,52.73,7.6,548.07,"N,P",47.72,15,11.8,37.22,Alluvial
89,16,32,21.78,55.93,7.42,423.23,"N,P",60.83,83.41,24.09,45.15,Alluvial
11,10,39,28.43,79.68,6.85,783.91,"N,P",52.84,24.01,8.81,49.98,lime soil
34,20,49,24.77,59.41,7.77,468.46,"N,P",68.46,69.54,33.58,17.52,Alluvial
88,23,5,11.95,82.82,6.13,648.33,N,43.05,90.76,39.3,53.1,Red Soil
58,47,19,34.63,81.29,6.94,630.16,"N,P,K",60.07,48.78,30.13,18.59,lime soil
82,35,25,19.76,78.84,5.74,296.25,"N,P",62.21,93.53,12.79,10.1,Loam
50,11,13,22.04,51.93,6.07,222.22,"N,P,K",55.77,81.46,48.09,23.26,Loam
36,47,59,24.33,83.51,7.76,410.33,"N,P,K",53.2,69.98,9.57,14.77,Alluvial
41,45,25,21.95,59.23,5.97,741.61,N,65.19,56.99,41.9,38.75,Loam
23,39,30,34.54,59.01,6.38,296.12,"N,P,K",63.89,46.43,40.19,54.42,Red Soil
70,31,50,25.44,86.43,5.77,380.19,"N,P,K",50.54,99.35,20.89,22.27,Clay
37,29,30,13.67,51.93,6.75,467.34,"N,P,K",51.52,93.03,46.63,25.59,black
68,7,59,27.25,63.75,5.87,338.72,"N,P",63.71,25.94,28.44,34.39,Clay
88,7,54,20.61,70.03,6.54,410.27,"N,P,K",72.04,69.45,48.57,17.44,Clay
92,23,40,21.62,75.45,7.58,919.84,N,59.52,40.18,43.36,31.98,lime soil
16,36,41,17.23,67.69,6.85,761.9,"N,P,K",43.58,56.93,48.37,40.92,sandy
97,45,15,16.17,76.77,6.23,901.99,"N,P,K",71.09,14.67,5.21,49.46,silt
60,34,28,36.25,63.72,7.35,251.11,"N,P,K",74.86,21.18,25.04,17.78,sandy
20,37,27,13.36,41.53,6.13,423.99,N,53.6,82,8.49,52.51,Clay
80,42,19,20.28,61.48,7.89,826.82,"N,P,K",50.33,90.31,30.1,36.67,Alluvial
71,45,27,11.4,58.64,5.82,338.05,"N,P,K",75.34,68.46,41.94,20.3,black
17,29,9,37,46.41,6.78,577.85,N,41.29,28.85,6.07,10.89,lime soil
49,43,13,35.09,66.15,5.65,713.75,"N,P,K",65.57,19.24,38.09,16.8,sandy
94,47,33,24.53,65.61,7.95,244.73,"N,P,K",54.94,96.77,26.1,19.23,lime soil
42,20,30,17.82,82.98,6.56,411.51,"N,P,K",54.48,90.31,28.12,17.33,lime soil
66,39,21,26.85,64.56,6.26,822.4,"N,P,K",78.36,23.27,37.69,54.86,Red Soil
11,27,23,18.39,55.46,5.95,682.99,"N,P",49.32,70.4,45.95,44.75,lime soil
90,44,48,11.12,64.95,7.14,875.44,"N,P,K",67.54,70.35,26.62,48.96,lime soil
93,39,12,18.68,58.91,7.17,623.77,"N,P,K",76.73,57.64,31.75,49.14,Clay
63,19,45,11.49,58.31,6.46,674.41,"N,P",42.05,81.03,31.92,19.47,Red Soil
10,32,48,25.56,42.63,6.97,640.96,"N,P,K",41.4,14.95,22.54,13.73,black
54,38,38,24.03,72.77,6,914.09,N,45.74,80.04,44.22,28.34,black
12,43,7,11.09,84.88,6.6,823.06,"N,P",44.93,81.56,40.66,25.51,lime soil
41,24,8,14.56,86.21,7.13,489.65,"N,P",61.18,17.6,32.05,9.2,black
79,40,17,14.43,75.02,7.03,528.05,"N,P",72.5,87.33,43.08,59.53,Alluvial
28,44,30,10.7,42.94,7.29,662.79,"N,P",48.89,32.43,21.35,26.01,sandy
60,14,40,12.8,74.14,6.39,854.67,"N,P,K",71.07,34.68,8.91,42.38,sandy
58,11,38,19.79,66.43,6.63,542.97,N,65.72,44.76,30.26,35.17,Alluvial
58,46,58,35.4,86.45,5.9,597.17,N,41.72,50.91,11.54,22.59,lime soil
23,25,11,25.48,83.14,7.49,848.01,"N,P,K",73.69,86.23,25.72,24.81,black
85,41,18,24.05,66.96,6.06,498.67,"N,P,K",71.78,63.23,25.57,56.47,sandy
56,31,47,26.15,63.92,5.76,779.34,"N,P,K",58.05,23.28,38.47,59.58,lime soil
12,28,35,37.13,57.99,5.68,867.3,N,49.68,98.71,27.59,34.09,Loam
60,24,10,11.41,47.68,6.84,875.5,"N,P,K",53.29,16.07,29.62,26.14,black
41,49,55,17.14,74.3,7.28,528.38,"N,P",44.16,98.46,9.47,36.09,Red Soil
31,47,11,39.47,42.08,6.81,624.51,"N,P,K",53.02,13.56,48.07,7.17,Red Soil
12,43,45,26.1,51.59,6.45,467.87,"N,P",58.03,68.41,43.57,27.19,black
60,28,29,14.32,63.03,5.88,896.8,N,55.19,81.56,36.89,51.68,lime soil
69,43,25,35.64,64.56,6.14,397.96,"N,P,K",58.49,30.18,18.88,41.63,Loam
80,29,16,36.84,43.79,7.64,446.47,N,69.91,63.93,42.32,26.92,Loam
73,36,40,35.68,77.34,6.97,325.14,"N,P,K",58.42,70.23,24.11,52.06,Clay
47,25,15,35.64,71,7.57,686.63,N,44.71,24.7,20.22,8.28,Loam
42,46,52,11.54,77.83,5.91,969.47,"N,P,K",48.16,27.65,30.48,37.89,black
11,6,25,33.27,69.54,5.61,915.9,N,42.62,53.54,48.61,46.75,lime soil
46,32,46,13.49,42.66,6.82,907.05,"N,P,K",77.84,28.82,18.79,40.39,Loam
22,40,34,21.2,73.05,6.81,960.22,"N,P,K",63.12,82.89,44.51,56.51,Loam
94,42,58,34.09,48.4,7.18,561,"N,P",43.54,29.36,36.52,39.52,Red Soil
89,15,17,14.87,67.87,7.08,372.36,"P,K",71.54,70.93,12.68,47.39,sandy
95,6,32,24.82,51.98,5.52,825.13,"N,P",73.94,71.51,16.55,20.53,lime soil
94,48,17,24.58,57.7,6.08,329.48,"N,P,K",46.16,88.76,43.62,33.22,silt
83,46,27,13.17,66.57,6.01,908.52,"N,P,K",54.39,48.32,28.49,5.48,Red Soil
90,40,34,17.46,70.22,7.06,510.51,"N,P,K",75.64,14.34,26.35,12.5,lime soil
38,6,27,24.04,72.91,7.4,725.81,"N,P,K",56.25,16.86,38.82,38.92,lime soil
78,34,8,19.6,73.58,7.28,775.1,"N,P,K",46.01,85.28,8.66,20.37,Loam
33,15,18,26.76,43.13,7.81,899.06,N,56,40.17,18.26,44.9,sandy
76,32,52,36.87,86.4,6.83,229.14,"N,P,K",55.46,80.91,5.56,15.58,Alluvial
52,13,12,13.33,55.16,6.78,694.19,"N,P",64.89,56.77,18.66,26.04,Clay
22,18,18,25.42,41.03,7.45,886.14,N,50.17,88.71,16.93,30.94,black
61,47,13,35.15,44.41,7.3,494.3,"N,P,K",58.79,34.5,20.04,25.73,Loam
15,12,59,25.5,67.34,6.93,509.48,N,55.95,51.23,47.39,27.07,lime soil
22,12,55,12.87,41.47,5.86,413.81,N,45.63,70.33,29.59,22.45,silt
41,23,15,28.83,66.73,6.05,877.39,"N,P,K",64.49,48.77,26.76,56.91,Clay
55,13,32,39.69,50.05,6.38,693.45,"N,P",78.81,11.76,45.42,43.64,Clay
57,39,42,33.5,49.82,5.8,336.49,N,42.77,63.5,17.04,9.73,Loam
44,13,49,37.68,62.51,6.97,269.64,"N,P,K",75.79,89.14,30.62,49.44,sandy
80,27,18,11.61,68.29,6.13,797.93,"N,P,K",48.95,13.98,37.66,44.12,lime soil
30,6,56,23.92,42.83,7.93,675.93,"N,P,K",51.04,57.78,30.41,44.87,sandy
70,48,45,21.2,70.45,5.84,795.84,"N,P,K",72.05,22.74,14.43,38.55,Loam
78,19,30,13.02,45.98,7.06,657.13,N,58.25,74.94,12.05,11.67,black
11,13,27,31.09,73.39,6.41,839.63,"N,P,K",47.68,60.6,47.02,36.94,black
96,8,50,30.93,44.84,7.71,899.51,N,45.06,29.17,31.86,55.83,Red Soil
12,35,44,31.09,62.16,7.3,551.01,"N,P,K",47.23,56.78,5.84,33.34,Red Soil
49,22,43,31.02,62.06,6.68,894.09,"N,P,K",43.58,42.28,41.94,18.34,Clay
31,46,8,17.65,66.21,7.77,902.16,"N,P,K",45.32,57.38,13.51,43.53,sandy
24,9,41,30.97,55.03,6.15,262.64,N,41.11,78.18,22.44,56.5,lime soil
71,47,39,14.1,43.92,5.63,959.83,N,48.9,90.71,33.77,21.9,silt
11,22,34,19.57,75.71,6.14,532,"N,P,K",49.63,29.22,26.44,12.12,silt
84,30,55,22.32,82.83,6.53,796.65,N,78.39,24.16,28.2,56.24,silt
21,28,6,33,83.03,6.58,235.73,"N,P,K",58.95,48.09,37.36,26.63,Alluvial
20,45,27,19.13,58.32,5.74,590.54,N,67.46,59.68,17.93,24.61,Red Soil
47,44,50,13.95,73.69,6.14,447.67,N,73.72,46.77,46.59,18.31,black
32,14,39,23.84,66.6,7.23,815.81,"N,P,K",40.1,76.62,11.8,50.2,lime soil
41,29,35,32.59,68.28,7.55,562.79,"N,P,K",57.27,48.3,38.77,50.49,black
52,38,16,15.64,42.05,5.63,946.67,"N,P,K",57.3,83.4,18.16,7.6,lime soil
54,43,25,25.33,57.74,7.73,494.77,N,54.92,87.25,41.03,13.07,Red Soil
63,15,55,15.76,45.69,7.53,809.1,"N,P,K",79.25,55.08,39.41,27.62,black
36,14,35,29.93,88.76,7.16,522.66,"N,P,K",51.38,70.91,26.62,36.84,Clay
16,34,6,38.26,66.16,5.61,399.66,"N,P,K",74.92,93.44,48.33,29.55,sandy
83,9,20,24.2,43.07,5.59,706.27,"N,P,K",58.05,98.67,49.55,29.85,lime soil
44,33,35,20.1,63.74,5.9,932.11,"N,P",51.36,52.48,35.44,43.99,sandy
50,11,50,24.51,64.65,7.26,735.98,"N,P,K",69.82,34.77,5.77,29.02,silt
54,43,48,25.35,62.95,7.95,711.52,"N,P,K",64.74,64.22,39.37,28.71,Loam
99,26,20,26.18,68.81,7.35,236.76,"N,P,K",48.29,22.76,49.12,24.6,black
73,33,23,21.2,51.42,6.26,772.99,"N,P",54.77,46.13,35.69,34.5,lime soil
52,35,32,29.09,65.72,6.75,475.39,"N,P,K",63.16,49.95,5.48,31.26,sandy
85,20,8,15.91,56.75,7.78,647.57,"N,P",61.75,90.33,48.46,45.44,silt
41,34,49,30.49,48.38,5.81,741.99,"N,P,K",78.21,94.36,37.04,34.81,silt
97,43,29,21.1,43.9,7.77,292.88,"N,P,K",73.54,67.49,33.26,28.7,lime soil
60,23,15,12.34,63.41,5.82,973.53,"N,P,K",50.51,80.41,9.71,19.52,Red Soil
52,8,45,27.98,65.67,6.89,883.39,"N,P,K",63.34,57.3,14.43,52.13,sandy
88,6,13,27.84,47.79,7.49,789.74,"N,P,K",72.78,22.61,19.96,21.91,Loam
41,42,6,22.92,44.37,7.94,821.75,N,71.54,29.85,18.84,18.67,Alluvial
95,37,37,21.96,63.04,6.55,399.4,"N,P,K",45.69,20.63,41.46,25.88,Alluvial
48,19,59,20.3,79.97,7.68,942.28,"N,P,K",60.65,73.4,44.8,12.18,sandy
20,43,7,30.17,59.44,5.98,424.16,N,55.16,85.59,16.96,56.21,black
12,15,42,33.56,56.91,6.15,571.2,"N,P,K",62.44,59.95,18.95,28.04,Alluvial
68,37,6,37.4,67.53,5.57,869.12,"N,P,K",65.04,27.04,17.76,33.12,lime soil
24,8,34,16.05,40.7,7.78,594.53,"N,P,K",72.55,97.44,38.7,29.83,lime soil
58,36,54,36.59,46.39,7.61,676.73,N,43.23,61.04,34.41,8.17,sandy
63,18,54,22.78,88.57,7.48,313.22,"N,P,K",56.22,23.36,34.5,50.6,lime soil
